Device ID	Device Name
42069e1d738089c2f49c2b2f989cc968d400c96c	Company0867
577d6e64a6cf3ac3aad9bbe3eda4857ffae8a75b	TESTe8a75b
00008030-000539310ee0402e	TESTe0402e
00008020-0001359C2E81002E	TEST81002E
abefeb2368a3f9db4c03acb0732f95e57399836d	TEST99836d
00008020-000525A80204002E	TEST04002E
00008020-001635440A86002E	Sean
00008101-001838460180001E	ZeroZero
00008101-000D390A0282001E	Sunny
00008101-000C11A41AF0001E	Bo
00008101-001879CE3AB8001E	EV
00008020-001924A91198002E	Ken
9532e997918c6344ff26b37e737f8b9727c218b9	lMain
